Label,Index
O-PUNCT,0
O-PRON,1
I_,2
O-ADJ,3
O-DET,4
O-ADV,5
O-V-v.stative,6
O-CCONJ,7
O-AUX,8
O-N-n.GROUP,9
O-N-n.PERSON,10
O-V-v.cognition,11
O-N-n.ARTIFACT,12
O-V-v.communication,13
O-N-n.FOOD,14
O-N-n.COGNITION,15
O-V-v.social,16
O-N-n.ACT,17
O-NUM,18
O-P-p.Locus,19
O-V-v.motion,20
O-N-n.TIME,21
O-N-n.LOCATION,22
O-SCONJ,23
O-INF,24
B-N-n.GROUP,25
O-N-n.EVENT,26
O-N-n.COMMUNICATION,27
O-PRON.POSS-p.Possessor,28
O-N-n.POSSESSION,29
O-P-p.Time,30
O-V-v.possession,31
O-V-v.change,32
O-V-v.emotion,33
O-PRON.POSS-p.SocialRel|p.Gestalt,34
O-N-n.ATTRIBUTE,35
B-ADJ,36
O-P-p.Goal,37
O-P-p.Topic,38
O-INF.P-p.Purpose,39
o-DET,40
B-AUX,41
B-DISC,42
B-N-n.PERSON,43
o-PRON,44
O-V-v.perception,45
O-INTJ,46
O-SYM,47
O-P-p.Purpose,48
B-N-n.LOCATION,49
B-ADV,50
O-P-p.Direction,51
o-ADJ,52
O-P-p.ComparisonRef,53
O-PRON.POSS-p.Agent|p.Gestalt,54
B-DET,55
B-N-n.ARTIFACT,56
O-N-n.QUANTITY,57
B-N-n.ACT,58
B-N-n.FOOD,59
O-P-p.Theme,60
O-P-p.Quantity|p.Whole,61
B-V.VID-v.social,62
O-V-v.consumption,63
O-P-p.Recipient|p.Goal,64
O-P-p.Duration,65
O-P-p.Explanation,66
B-N-n.COGNITION,67
O-N-n.ANIMAL,68
O-PRON.POSS-p.Experiencer|p.Gestalt,69
O-P-p.Quantity,70
B-V.VID-v.cognition,71
O-N-n.BODY,72
B-V-v.social,73
B-N-n.COMMUNICATION,74
I~-P-p.Theme,75
O-P-p.Gestalt,76
O-PRON.POSS-p.Gestalt,77
O-INF.P-p.Characteristic|p.Purpose,78
O-PRON.POSS-p.Originator|p.Gestalt,79
B-V-v.communication,80
O-V-v.creation,81
I~-V-v.communication,82
B-V.VPC.full-v.social,83
O-P-p.Stimulus|p.Topic,84
O-P-p.Whole,85
B-V-v.stative,86
B-V-v.cognition,87
B-V.VID-v.stative,88
O-DISC,89
O-P-p.Source,90
O-P-p.Beneficiary,91
B-PP-p.Manner|p.Locus,92
O-P-p.Characteristic,93
O-P-p.Circumstance,94
O-N-n.NATURALOBJECT,95
B-V.IAV-v.social,96
O-P-p.Approximator,97
O-P-p.Identity,98
O-PRON.POSS-p.Whole|p.Gestalt,99
B-V.LVC.full-v.social,100
I~-DET,101
o-PRON.POSS-p.Possessor,102
I~-ADV,103
O-P-??,104
O-V-v.body,105
O-N-n.OTHER,106
O-P-p.Originator|p.Source,107
I~-N-n.COGNITION,108
B-N-n.EVENT,109
O-V-v.contact,110
O-N-n.STATE,111
o-ADV,112
O-P-p.Species,113
O-X,114
I~-ADJ,115
O-P-p.Goal|p.Locus,116
I~-N-n.ACT,117
I~-P-p.Topic,118
O-P-p.Manner,119
B-V.VPC.semi-v.motion,120
B-V.VID-v.communication,121
i_,122
B-PP-p.Extent,123
O-P-p.OrgRole|p.Locus,124
O-P-p.Time|p.Interval,125
O-N-n.RELATION,126
B-V.VPC.full-v.cognition,127
O-N-n.SUBSTANCE,128
O-N-n.FEELING,129
B-N-n.POSSESSION,130
O-P-p.Cost,131
B-P-p.Explanation,132
B-V.LVC.full-v.cognition,133
B-P-p.Locus,134
O-P-p.EndTime,135
O-P-p.StartTime,136
B-V.IAV-v.cognition,137
O-P-p.Agent,138
o-N-n.ARTIFACT,139
O-PRON.POSS-p.OrgRole|p.Possessor,140
B-V.VPC.full-v.stative,141
O-P-p.Manner|p.ComparisonRef,142
O-P-p.Accompanier,143
I~-CCONJ,144
B-V.VID-v.change,145
O-P-p.Co-Agent,146
B-V.LVC.full-v.communication,147
B-V.VPC.full-v.motion,148
O-N-n.PROCESS,149
I~-N-n.EVENT,150
O-N-n.MOTIVE,151
I~-N-n.COMMUNICATION,152
I~-V-v.cognition,153
O-P-p.Locus|p.Source,154
O-P-p.Manner|p.Locus,155
I~-N-n.TIME,156
O-N-n.PHENOMENON,157
I~-N-n.LOCATION,158
O-P-p.Theme|p.ComparisonRef,159
B-PP-p.Locus,160
B-PRON,161
o-N-n.GROUP,162
I~-PRON,163
I~-P-p.Stimulus|p.Topic,164
B-V-v.motion,165
O-P-p.Path,166
B-N-n.QUANTITY,167
B-V.IAV-v.motion,168
O-P-p.PartPortion,169
O-P-p.Cost|p.Locus,170
B-V.VPC.full-v.possession,171
I~-N-n.ARTIFACT,172
o-PRON.POSS-p.Whole|p.Gestalt,173
B-V.VPC.full-v.change,174
O-P-p.Means,175
B-V.VPC.full-v.communication,176
B-N-n.TIME,177
B-N-n.ATTRIBUTE,178
B-V.VPC.semi-v.communication,179
I~-P-p.Locus,180
O-P-p.Locus|p.Path,181
I~-N-n.GROUP,182
I~-P-p.Recipient|p.Goal,183
B-V.IAV-v.stative,184
O-POSS-p.Possessor,185
O-INF.P-p.Theme|p.Purpose,186
I~-INF,187
B-P-p.PartPortion,188
O-P-p.Beneficiary|p.Goal,189
I~-P-p.SocialRel|p.Co-Agent,190
I~-P-p.Co-Agent,191
B-V.VPC.full-v.body,192
I~-P-p.Direction,193
B-V.VPC.semi-v.social,194
B-P-p.Approximator,195
o-AUX,196
O-P-p.Quantity|p.Stuff,197
I~-N-n.PERSON,198
B-N-n.BODY,199
I~-V-v.stative,200
B-V.VID-v.emotion,201
B-V.VID-v.body,202
I~-V-v.social,203
o-PRON.POSS-p.Gestalt,204
B-CCONJ,205
I~-AUX,206
I~-P-p.Goal,207
B-V.VPC.semi-v.stative,208
O-P-p.Locus|p.Direction,209
B-V.VPC.semi-v.change,210
I~-P-p.Source,211
B-N-n.STATE,212
O-P-p.Possession|p.Accompanier,213
o-NUM,214
B-P-p.Time,215
O-P-p.Originator|p.Agent,216
B-PP-p.Approximator,217
B-P-p.Source,218
O-P-p.Experiencer|p.Goal,219
o-N-n.COGNITION,220
o-PUNCT,221
o-CCONJ,222
B-SCONJ,223
I~-PUNCT,224
O-P-p.Circumstance|p.Locus,225
O-POSS-p.Gestalt,226
B-P-p.InsteadOf,227
B-V-v.change,228
O-P-p.Stuff,229
O-P-p.Characteristic|p.Extent,230
I~-P-p.Purpose,231
B-V.VID-v.motion,232
O-P-p.Characteristic|p.Identity,233
I~-P-p.Stimulus|p.Goal,234
O-P-p.Explanation|p.Time,235
O-P-p.Instrument,236
o-P-p.Quantity,237
B-V-v.emotion,238
o-PRON.POSS-p.Originator|p.Gestalt,239
O-P-p.PartPortion|p.ComparisonRef,240
O-PRON.POSS-p.Theme|p.Gestalt,241
o-N-n.PERSON,242
O-P-p.Theme|p.Purpose,243
